County,Total_Population,Med_Age_Total,Age_0-2,Age_3-4,Age_5-18,Age_65_and_older,Total_Housing_Units,Total_Occupied_Housing_Units,Percent_Owned_with_mortgage_loan,Percent_owned_free_clear,Percent_Renter_occupied,Total_Vacant_units,Percent_Vacant,Percent_seasonal,Percent_vacant_not_seasonal,Total_households,1_person_hhld,2_person_hhld,3_person_hhld,4_person_hhld,5_person_hhld,6_person_hhld,7_person_or_more_hhld
MERCER,116638,42.79999995,3475,2487,21032,21556,51733,46442,41.60%,31.50%,26.90%,5291,10.20%,2.00%,8.20%,46442,13640,16921,7069,5264,2228,774,546
MIFFLIN,46682,42.5,1725,1197,8442,8643,21537,18743,41.00%,31.60%,27.40%,2794,13.00%,5.80%,7.20%,18743,5076,6984,2853,2143,945,386,356
MONROE,169842,40.29999995,5043,3645,34910,21701,80359,61091,59.40%,19.20%,21.40%,19268,24.00%,16.90%,7.10%,61091,13058,20312,10732,9475,4640,1778,1096
MONTGOMERY,799874,40.5999999,27985,19320,146216,120727,325735,307750,53.60%,19.50%,26.90%,17985,5.50%,0.50%,5.10%,307750,80881,101109,51150,45890,19328,6115,3277
MONTOUR,18267,43.89999998,660,390,3046,3395,7965,7393,42.90%,29.00%,28.10%,572,7.20%,1.10%,6.10%,7393,2177,2732,1137,792,336,121,98
NORTHAMPTON,297735,40.89999998,9370,6861,53550,46606,120363,113565,51.10%,21.70%,27.20%,6798,5.60%,0.60%,5.00%,113565,28444,39230,19417,16099,6777,2364,1234
NORTHUMBERLAND,94528,43.39999998,3098,2175,15299,17516,45125,39242,40.40%,32.10%,27.60%,5883,13.00%,1.60%,11.50%,39242,11884,14155,6204,4281,1791,602,325
PERRY,45969,41.0999999,1648,1113,8574,6294,20424,17903,51.00%,28.40%,20.60%,2521,12.30%,6.80%,5.60%,17903,4110,6904,2950,2323,972,362,282
PHILADELPHIA,1526006,33.5,62059,38994,268724,185309,670171,599736,35.30%,18.80%,45.90%,70435,10.50%,0.30%,10.20%,599736,204714,169159,94783,66886,35648,15890,12656
PIKE,57369,43.69999993,1650,1173,11362,9303,38350,21925,63.30%,22.50%,14.20%,16425,42.80%,37.20%,5.60%,21925,4919,8047,3523,3148,1483,520,285
POTTER,17457,44.89999998,574,400,3153,3403,12932,7227,41.10%,35.30%,23.60%,5705,44.10%,38.80%,5.30%,7227,1981,2863,985,803,377,138,80
SCHUYLKILL,148289,43.19999993,4471,3240,23757,26828,69323,60192,41.40%,34.20%,24.40%,9131,13.20%,2.00%,11.20%,60192,18045,21083,9760,6978,2791,995,540
SNYDER,39702,39.19999993,1362,1062,7252,6144,16027,14750,43.50%,30.70%,25.80%,1277,8.00%,3.00%,5.00%,14750,3559,5516,2432,1937,739,284,283
SOMERSET,77742,44.29999995,2195,1507,12350,14431,38113,31090,39.90%,36.90%,23.20%,7023,18.40%,12.00%,6.50%,31090,8729,11709,4924,3638,1383,437,270
SULLIVAN,6428,49.89999998,153,102,885,1557,6304,2777,36.80%,43.20%,20.10%,3527,55.90%,52.20%,3.70%,2777,897,1131,359,256,93,26,15
SUSQUEHANNA,43356,45.0999999,1307,866,7594,7845,22968,17798,43.30%,34.80%,21.80%,5170,22.50%,16.70%,5.80%,17798,4706,6787,2689,2145,957,346,168
TIOGA,41981,42.39999998,1338,889,7130,7562,21364,16727,41.30%,33.30%,25.40%,4637,21.70%,16.30%,5.40%,16727,4365,6701,2468,1902,792,318,181
UNION,44947,38.5,1184,913,7071,6654,16997,14765,43.60%,27.50%,28.90%,2232,13.10%,7.90%,5.20%,14765,4081,5427,2291,1764,714,261,227
VENANGO,54984,44.29999995,1791,1297,9513,9884,27464,22621,39.10%,35.50%,25.40%,4843,17.60%,10.20%,7.40%,22621,6211,8582,3558,2612,1079,372,207
WARREN,41815,45.0999999,1254,834,7186,7840,23560,17767,40.00%,36.70%,23.30%,5793,24.60%,18.50%,6.10%,17767,5348,6753,2593,1855,778,242,198
WASHINGTON,207820,43.5999999,6218,4338,34937,36366,92977,85089,45.90%,30.00%,24.10%,7888,8.50%,0.60%,7.90%,85089,23937,30810,13653,10701,4203,1248,537
WAYNE,52822,45.89999998,1238,944,8481,10028,31653,20625,47.00%,33.80%,19.20%,11028,34.80%,29.60%,5.20%,20625,5604,8028,3115,2274,1060,348,196
WESTMORELAND,365169,45.0999999,10239,7432,59728,68877,168199,153650,45.30%,31.40%,23.40%,14549,8.60%,1.10%,7.50%,153650,44520,56781,24426,18164,6816,2071,872
WYOMING,28276,42.29999995,871,650,5053,4528,13254,11237,44.10%,32.60%,23.40%,2017,15.20%,10.30%,4.90%,11237,2928,4092,1804,1454,621,225,113
YORK,434972,40.0999999,15734,10858,81353,61057,178671,168372,53.30%,22.20%,24.50%,10299,5.80%,0.60%,5.10%,168372,39841,61553,28387,23469,9668,3516,1938
